proc-macro-nested                  ,316396     ,75467     ,1.70
difference                         ,1209375    ,255015    ,1.93
version-compare                    ,3213640    ,656467    ,1.99
net2                               ,1628494    ,330474    ,2.00
iovec                              ,1697529    ,331185    ,2.08
errno-dragonfly                    ,1051725    ,201950    ,2.12
raw-window-handle                  ,4427733    ,846352    ,2.13
clap_complete                      ,5406309    ,1025588   ,2.14
shell-words                        ,6619783    ,1247417   ,2.16
memchr                             ,58452306   ,10821283  ,2.19
platforms                          ,1139742    ,210322    ,2.20
atty                               ,13854188   ,2543278   ,2.21
color-eyre                         ,3390393    ,623224    ,2.21
cfg-if                             ,60606063   ,11098622  ,2.22
quote                              ,72047809   ,13163777  ,2.22
autocfg                            ,59722663   ,10825828  ,2.24
html5ever                          ,3419122    ,620253    ,2.24
libc                               ,70050253   ,12704062  ,2.24
markup5ever                        ,3478815    ,631040    ,2.24
proc-macro2                        ,73248626   ,13302469  ,2.24
serde                              ,63123380   ,11452723  ,2.24
rgb                                ,6155465    ,1113014   ,2.25
pulldown-cmark                     ,3970667    ,713132    ,2.26
unicode-ident                      ,66740100   ,12021499  ,2.26
utf8-ranges                        ,1903052    ,339931    ,2.27
string_cache_codegen               ,3339911    ,596107    ,2.28
itoa                               ,58569075   ,10404783  ,2.29
vte                                ,2611344    ,463059    ,2.29
dirs-sys                           ,14369449   ,2529993   ,2.31
serde_cbor                         ,5082986    ,892399    ,2.31
serde_derive                       ,58860161   ,10349473  ,2.31
serde_json                         ,54374917   ,9577701   ,2.31
futf                               ,3062856    ,535609    ,2.32
option-ext                         ,8663797    ,1515913   ,2.32
syn                                ,110791382  ,19408349  ,2.32
tendril                            ,3070975    ,538601    ,2.32
directories                        ,3271955    ,571068    ,2.33
mac                                ,3056730    ,533323    ,2.33
once_cell                          ,59970902   ,10438237  ,2.33
rayon-core                         ,25630299   ,4472649   ,2.33
crossbeam-deque                    ,29617804   ,5134389   ,2.34
crossbeam-epoch                    ,29849056   ,5191836   ,2.34
num-traits                         ,47829624   ,8296228   ,2.34
ryu                                ,55298985   ,9599026   ,2.34
lazy_static                        ,46233234   ,8001956   ,2.35
regex                              ,50271237   ,8674930   ,2.35
rayon                              ,25745210   ,4438985   ,2.36
termcolor                          ,26004229   ,4467474   ,2.36
bit_field                          ,3667546    ,627538    ,2.37
log                                ,56249145   ,9648848   ,2.37
aho-corasick                       ,49746238   ,8501250   ,2.38
cfg-expr                           ,4530696    ,772107    ,2.38
libssh2-sys                        ,2269019    ,383673    ,2.40
version_check                      ,44769517   ,7580168   ,2.40
bitflags                           ,84874357   ,14276337  ,2.42
crossbeam-utils                    ,40531850   ,6799378   ,2.42
dirs                               ,13698437   ,2295595   ,2.42
dtoa                               ,5236788    ,877787    ,2.42
os_info                            ,2643225    ,441451    ,2.43
smallvec                           ,51169897   ,8548505   ,2.43
cc                                 ,52224106   ,8703685   ,2.44
getopts                            ,5054253    ,842646    ,2.44
kernel32-sys                       ,775133     ,129170    ,2.44
same-file                          ,28703860   ,4773371   ,2.44
walkdir                            ,29531413   ,4886825   ,2.45
fdeflate                           ,8158307    ,1344645   ,2.46
smol_str                           ,6054114    ,1000674   ,2.46
ctor                               ,6758583    ,1109914   ,2.47
ttf-parser                         ,5446003    ,896808    ,2.47
either                             ,47293063   ,7742164   ,2.48
fake-simd                          ,796628     ,130543    ,2.48
pico-args                          ,3746573    ,613462    ,2.48
ppv-lite86                         ,43565495   ,7147506   ,2.48
scopeguard                         ,38574325   ,6312658   ,2.48
image                              ,9864685    ,1609564   ,2.49
lock_api                           ,39158366   ,6367130   ,2.50
weezl                              ,7513503    ,1219184   ,2.50
winapi-build                       ,792300     ,128678    ,2.50
const_fn                           ,4118471    ,667099    ,2.51
fnv                                ,37673917   ,6090342   ,2.51
getrandom                          ,87899335   ,14253609  ,2.51
pin-project-lite                   ,42704211   ,6925361   ,2.51
bytemuck_derive                    ,5761333    ,928470    ,2.52
wasmparser                         ,5732451    ,922325    ,2.52
equivalent                         ,44764922   ,7201671   ,2.53
png                                ,9494954    ,1527468   ,2.53
unicode-width                      ,41553414   ,6679267   ,2.53
wasm-encoder                       ,3872204    ,620846    ,2.53
anstyle                            ,35815246   ,5730315   ,2.54
camino                             ,11545239   ,1850120   ,2.54
clap_builder                       ,37379660   ,5967225   ,2.54
byteorder                          ,38354248   ,6117383   ,2.55
clap                               ,54543395   ,8694944   ,2.55
shlex                              ,38799776   ,6175514   ,2.55
signal-hook                        ,9188298    ,1463381   ,2.55
utf8parse                          ,31973316   ,5092553   ,2.55
error-chain                        ,2753864    ,437048    ,2.56
percent-encoding                   ,37732478   ,5992843   ,2.56
string_cache                       ,7429169    ,1177015   ,2.56
ansi_term                          ,8639566    ,1363468   ,2.57
form_urlencoded                    ,34452221   ,5454202   ,2.57
futures-core                       ,37620141   ,5947505   ,2.57
adler2                             ,28256037   ,4455835   ,2.58
gif                                ,7097206    ,1116295   ,2.58
is_terminal_polyfill               ,26965605   ,4243322   ,2.58
rand_os                            ,2295140    ,360781    ,2.58
regex-syntax                       ,76145389   ,11969518  ,2.58
signal-hook-mio                    ,4726414    ,744840    ,2.58
thiserror                          ,71485855   ,11272592  ,2.58
thiserror-impl                     ,71489102   ,11268446  ,2.58
typenum                            ,37604065   ,5910674   ,2.58
color_quant                        ,6753644    ,1058555   ,2.59
slab                               ,36304837   ,5702550   ,2.59
cargo-platform                     ,10112612   ,1579922   ,2.60
cargo_metadata                     ,11106809   ,1736888   ,2.60
clap_derive                        ,34539102   ,5398599   ,2.60
clap_lex                           ,41942680   ,6551219   ,2.60
errno                              ,41230824   ,6438334   ,2.60
memmap2                            ,15881353   ,2484775   ,2.60
pkg-config                         ,34032535   ,5312797   ,2.60
precomputed-hash                   ,7090231    ,1108398   ,2.60
toml                               ,38531056   ,6021592   ,2.60
anstream                           ,32812238   ,5107468   ,2.61
anstyle-parse                      ,32560403   ,5060016   ,2.61
anyhow                             ,43595529   ,6789537   ,2.61
dialoguer                          ,3901028    ,607482    ,2.61
futures-task                       ,37101678   ,5771475   ,2.61
futures-util                       ,37115919   ,5773368   ,2.61
toml_datetime                      ,32650984   ,5080187   ,2.61
tracing-core                       ,37533117   ,5838137   ,2.61
anstyle-query                      ,32486562   ,5042058   ,2.62
colorchoice                        ,32383828   ,5030853   ,2.62
pin-utils                          ,36117587   ,5607149   ,2.62
tempfile                           ,37355996   ,5791492   ,2.62
tiff                               ,4801468    ,745371    ,2.62
tracing                            ,37240773   ,5779398   ,2.62
url                                ,37226651   ,5780602   ,2.62
bytes                              ,43663363   ,6734934   ,2.63
heapless                           ,5354760    ,827668    ,2.63
miow                               ,1054830    ,162810    ,2.63
nodrop                             ,2323088    ,359297    ,2.63
parking_lot_core                   ,46331675   ,7148347   ,2.63
ron                                ,6615659    ,1023848   ,2.63
serde_spanned                      ,25956909   ,4013241   ,2.63
stable_deref_trait                 ,30685864   ,4748044   ,2.63
textwrap                           ,19819308   ,3065341   ,2.63
futures-sink                       ,36385697   ,5601163   ,2.64
generic-array                      ,36626936   ,5636774   ,2.64
pathdiff                           ,10878535   ,1671541   ,2.64
rand_isaac                         ,2341528    ,359678    ,2.64
unreachable                        ,1347790    ,207308    ,2.64
crc32fast                          ,30462691   ,4669790   ,2.65
flate2                             ,30721863   ,4686320   ,2.66
futures-channel                    ,36210155   ,5526893   ,2.66
futures-io                         ,34793795   ,5322513   ,2.66
indexmap                           ,74807234   ,11410876  ,2.66
parking_lot                        ,45649779   ,6979505   ,2.66
plotters                           ,13428529   ,2050253   ,2.66
block-buffer                       ,41215570   ,6259395   ,2.67
bytesize                           ,5627386    ,855845    ,2.67
crossbeam-channel                  ,24858482   ,3784200   ,2.67
maybe-uninit                       ,1523354    ,231486    ,2.67
oorandom                           ,14783416   ,2246571   ,2.67
plotters-backend                   ,13365418   ,2030675   ,2.67
proc-macro-hack                    ,5495038    ,835795    ,2.67
rand_jitter                        ,2263620    ,344970    ,2.67
regex-automata                     ,71777158   ,10902490  ,2.67
rpassword                          ,2483446    ,377551    ,2.67
tokio                              ,40324878   ,6136704   ,2.67
crypto-common                      ,32751693   ,4962188   ,2.68
digest                             ,42441821   ,6442084   ,2.68
enumflags2                         ,4560731    ,690978    ,2.68
enumflags2_derive                  ,4558740    ,690396    ,2.68
plotters-svg                       ,13317886   ,2018021   ,2.68
strsim                             ,52893759   ,8007444   ,2.68
yaml-rust                          ,5416270    ,821222    ,2.68
zerocopy                           ,57617890   ,8744018   ,2.68
cpufeatures                        ,35866998   ,5426715   ,2.69
icu_normalizer                     ,28527707   ,4301483   ,2.69
icu_provider                       ,28649729   ,4320944   ,2.69
libredox                           ,7672130    ,1159346   ,2.69
rand_chacha                        ,69961823   ,10551760  ,2.69
rustix                             ,56596610   ,8547762   ,2.69
cast                               ,14704876   ,2212939   ,2.70
criterion-plot                     ,14173717   ,2129419   ,2.70
failure                            ,1048622    ,157630    ,2.70
